Event,Node,Arrival,Mode
1,15,0.15428688864602336,None
1,27,0.43622510073954945,None
1,11,1.1178371065030372,None
1,44,1.3685437648646186,None
1,9,1.4853969765458634,None
1,39,1.6760763045352034,None
1,17,2.8108931700832316,None
1,21,2.962545186325811,None
1,10,4.027930758888104,None
1,6,4.054089422713732,None
1,7,4.506548723811621,None
1,41,4.6161997123164795,None
1,38,4.8588817754335025,None
1,14,4.976603454378541,None
1,22,5.273993975196518,None
1,9,5.276321041284053,None
1,41,5.4090794354057845,None
1,16,5.951628471965482,None
1,27,6.278146626839766,None
1,15,6.285336894078238,None
1,39,6.456864799729452,None
1,41,6.6179187958975625,None
1,20,6.673033903488761,None
1,30,6.839177377306328,None
1,28,7.5383721827512975,None
1,8,7.587928255637532,None
1,41,7.670617734110282,None
1,21,8.114948447699117,None
1,44,8.388414912835184,None
1,36,8.670483634439078,None
1,26,8.764859225852431,None
1,41,8.978241463767134,None
1,11,9.039507530763835,None
1,9,9.396765489161176,None
1,24,9.815084986775627,None
1,32,9.83196224930775,None
1,41,9.967966150122741,None
1,10,10.139610036956377,None
1,42,10.278518138760628,None
1,7,10.51379775676265,None
1,26,10.781335752886422,None
1,17,10.795181095682535,None
1,14,10.964875792857743,None
1,41,11.015741434195636,None
1,39,11.395142412361796,None
1,22,11.43737249246772,None
1,20,11.551933699806387,None
1,41,11.903180452705254,None
1,27,12.150324823622125,None
1,42,12.244845674658968,None
1,15,12.350592418389208,None
1,35,12.550439869183784,None
1,36,12.62865699549564,None
1,26,12.674981548661568,None
1,38,12.7673236587163,None
1,41,12.844928242478508,None
1,16,13.006569267003513,None
1,25,13.016114184934537,None
1,6,13.06267091814779,None
1,21,13.080092250489704,None
1,9,13.399029928606268,None
1,8,13.411844850192084,None
1,34,13.508855178909027,None
1,13,13.511226695428213,None
1,41,13.84227053389587,None
1,24,13.963639781139342,None
1,43,14.225756820311936,None
1,42,14.278647261128311,None
1,31,14.456849838920323,None
1,26,14.736215934805616,None
1,41,14.849101213090908,None
1,40,15.194363404381688,None
1,28,15.21846016526485,None
1,44,15.375320389444529,None
1,13,15.554318651365648,None
1,25,15.718481274082048,None
1,41,15.774218613996048,None
1,30,16.083121633085028,None
1,43,16.173681359625494,None
1,20,16.255430135072494,None
1,39,16.28686051212562,None
1,42,16.293134425307677,None
1,10,16.383480114216198,None
1,26,16.719215177442194,None
1,18,16.72778816324599,None
1,41,16.728076075533032,None
1,7,16.75529855430535,None
1,11,16.82148730281326,None
1,36,16.829554013987615,None
1,14,16.90221425639653,None
1,37,16.98347089466002,None
1,22,17.328967070184508,None
1,13,17.443657681367906,None
1,31,17.504756105324255,None
1,9,17.5359946766342,None
1,24,17.769379074985288,None
1,5,17.812155003907172,None
1,12,17.836508138320653,None
1,43,17.944504882782255,None
1,41,17.96936798919957,None
1,21,18.041904679322393,None
1,27,18.17379611533847,None
1,42,18.23009564827001,None
1,15,18.448266847985167,None
1,34,18.54631164678673,None
1,25,18.603095415283907,None
1,26,18.814370274113944,None
1,17,18.87828171285578,None
1,41,19.006882261039202,None
1,32,19.088785190601115,None
1,13,19.346494083887787,None
1,8,19.5220756876104,None
1,35,19.542104406820375,None
1,43,19.848436975604756,None
1,16,20.03531681687344,None
1,42,20.051403298427836,None
1,41,20.13514054922475,None
1,37,20.159487388274247,None
1,31,20.356405327239987,None
1,18,20.577187439132107,None
1,26,20.689808354244075,None
1,5,20.731972597694586,None
1,38,20.753793166326528,None
1,36,20.794734470977623,None
1,41,21.01314389563649,None
1,39,21.23845411981114,None
1,13,21.28213380318602,None
1,40,21.288783225266236,None
1,25,21.496648179083184,None
1,9,21.50023851272797,None
1,33,21.51063061676633,None
1,20,21.72870168011532,None
1,43,21.84660757843096,None
1,24,21.98555206682,None
1,41,21.995828936569275,None
1,6,22.086819925297526,None
1,42,22.1822701757313,None
1,44,22.380765727183377,None
1,10,22.455453532810512,None
1,26,22.50434858046966,None
1,41,22.81905089187667,None
1,7,22.858001536197975,None
1,14,22.927873156103388,None
1,28,23.127839363426567,None
1,13,23.146780797039717,None
1,21,23.14808687737887,None
1,31,23.18617386411496,None
1,22,23.220595694759673,None
1,37,23.55317354468489,None
1,5,23.581748401547518,None
1,43,23.628105328250687,None
1,34,23.725063780219415,None
1,41,23.79087001285962,None
1,27,23.97396289856748,None
1,42,24.150267376719793,None
1,25,24.342941243867983,None
1,18,24.52710808753089,None
1,11,24.55201839388405,None
1,36,24.57701612340327,None
1,15,24.579157820994244,None
1,23,24.682813691568143,None
1,26,24.68973539124136,None
1,41,24.817743602829857,None
1,30,24.83415835324744,None
1,13,25.21238403541244,None
1,9,25.495676688345632,None
1,8,25.568452708540434,None
1,43,25.69570812746049,None
1,12,25.86023036513769,None
1,24,25.88453041514969,None
1,41,25.913486594373666,None
1,42,26.096541010089513,None
1,31,26.171268196500947,None
1,39,26.243739291869577,None
1,17,26.425512459626578,None
1,5,26.483320480181646,None
1,37,26.59242457483508,None
1,35,26.60293392177686,None
1,19,26.6847389460237,None
1,20,26.731769171777444,None
1,26,26.851475324817528,None
1,16,26.899817530346887,None
1,41,27.024400740510313,None
1,13,27.07706381856582,None
1,25,27.328416951359703,None
1,40,27.340242367468292,None
1,43,27.78662885824629,None
1,19,27.833368083504205,None
1,41,28.04418364388655,None
1,42,28.06967358252788,None
1,32,28.1102190441389,None
1,21,28.19220651132433,None
1,10,28.41442120605179,None
1,36,28.541374158846907,None
1,33,28.54414945197607,None
1,18,28.696319527275136,None
1,26,28.73874399287463,None
1,14,28.810906369267734,None
1,19,28.83480713964058,None
1,34,28.878287849439957,None
1,38,28.887513629763408,None
1,7,29.01803669363143,None
1,13,29.089024586543893,None
1,44,29.13541271246607,None
1,41,29.218621543259765,None
1,31,29.27191136913713,None
1,22,29.317262829800082,None
1,9,29.490143270006246,None
1,5,29.53606700178542,None
1,37,29.570229209535384,None
1,43,29.767039768632692,None
1,24,29.889692656119564,None
1,27,29.90715190888491,None
1,19,29.916291378595012,None
1,29,30.002000706417316,None
1,41,30.088918544971783,None
1,42,30.162404211018597,None
1,25,30.44798374951928,None
1,26,30.661123148481128,None
1,15,30.67437767798065,None
1,41,30.797114860995723,None
1,13,31.096193142773977,None
1,6,31.099761522547617,None
1,28,31.108529633536655,None
1,39,31.123497553133568,None
1,19,31.155727051532992,None
1,43,31.518235562908718,None
1,8,31.639216845198884,None
1,41,31.710985171132528,None
1,20,31.74340053994837,None
1,19,32.03016042248492,None
1,42,32.115414206406776,None
1,31,32.21708450688514,None
1,11,32.52775140595191,None
1,36,32.52806328912773,None
1,37,32.548777419556004,None
1,5,32.549832010710205,None
1,26,32.6078170598216,None
1,18,32.751542486734365,None
1,41,32.76029660271385,None
1,13,33.02518854499296,None
1,19,33.124009795496264,None
1,21,33.21336696027535,None
1,35,33.38793395844501,None
1,25,33.42058440893781,None
1,43,33.42116904318868,None
1,9,33.467398629016216,None
1,40,33.5685952286592,None
1,23,33.59097152859005,None
1,41,33.63451484528576,None
1,24,33.658719747164646,None
1,34,33.7327100276549,None
1,16,33.737685895381716,None
1,12,33.983153979790806,None
1,19,34.017398883886315,None
1,30,34.117873283183194,None
1,42,34.24672356910732,None
1,10,34.24712935302514,None
1,41,34.313831106342796,None
1,26,34.49679354702503,None
1,17,34.55471372393522,None
1,14,34.82996801674975,None
1,13,34.841358944525005,None
1,22,35.11502543905113,None
1,19,35.12233731466077,None
1,41,35.19357634561991,None
1,7,35.19659420409224,None
1,31,35.34937477819496,None
1,37,35.394440496369356,None
1,43,35.41103318729344,None
1,33,35.53406422196403,None
1,5,35.612047564627865,None
1,39,35.8689062596121,None
1,19,35.90161507737237,None
1,29,35.91427424901443,None
1,27,35.922865737909184,None
1,41,36.11988486477078,None
1,42,36.192638172403356,None
1,44,36.259056686242076,None
1,26,36.41810233723601,None
1,36,36.43469487448273,None
1,18,36.538327565462126,None
1,25,36.58514274371448,None
1,20,36.62798525990271,None
1,15,36.74936899645924,None
1,13,36.75451043654507,None
1,19,36.8932493351277,None
1,38,37.00338024624854,None
1,41,37.09760888942538,None
1,43,37.12628859513622,None
1,32,37.19206092343233,None
1,9,37.473229661828604,None
1,8,37.4760700842367,None
1,24,37.747539264737476,None
1,19,37.78747436969495,None
1,41,38.12971357215997,None
1,21,38.13785724117094,None
1,31,38.22687148166007,None
1,42,38.32036395215791,None
1,26,38.46510047900491,None
1,37,38.49616214606766,None
1,34,38.605058128514514,None
1,5,38.610565874613,None
1,13,38.70736144485272,None
1,19,38.961399340435925,None
1,43,39.27976074009065,None
1,28,39.32864771166007,None
1,41,39.34041961445281,None
1,25,39.627527069635065,None
1,40,39.65141170073867,None
1,19,40.06316241273522,None
1,10,40.119279364496144,None
1,6,40.20752993533179,None
1,42,40.24762402751258,None
1,35,40.275323486533196,None
1,41,40.387462725282575,None
1,26,40.40287861149161,None
1,36,40.47995916229125,None
1,13,40.480277907669745,None
1,18,40.61524701823219,None
1,11,40.61738398048398,None
1,16,40.65843450634928,None
1,39,40.76815783432842,None
1,14,40.8562809410461,None
1,19,41.03899233310912,None
1,22,41.126921141950056,None
1,31,41.20115564893291,None
1,7,41.23741755401376,None
