Event,Node,Arrival,Mode
1,35,168.534791419901,None
1,34,168.5960985778107,None
1,35,168.63660526936908,None
1,42,168.7420959695217,None
1,42,168.76468404361373,None
1,20,168.87476607794844,None
1,38,168.90898950835947,None
1,42,168.9151036283529,None
1,6,169.0190676556657,None
1,20,169.08074321595993,None
1,35,169.29289859657172,None
1,25,169.32992950430557,None
1,35,169.46004197429784,None
1,38,169.466662064488,None
1,34,169.49759902808728,None
1,38,169.49827427896784,None
1,34,169.52722886880778,None
1,20,169.64372947189878,None
1,42,169.68546652514058,None
0,16,169.72460931833464,1
1,16,169.72460931833464,None
1,20,169.8624196948867,None
1,35,169.90998792660537,None
1,42,169.94626359551907,None
1,16,170.23388073859746,None
1,35,170.26245338574003,None
1,6,170.2961602373701,None
1,35,170.40795664638654,None
1,42,170.43885710985603,None
1,25,170.60449512193637,None
1,16,170.6121171503873,None
1,42,170.63640910186678,None
1,16,170.70174916128872,None
1,25,170.77844094385446,None
1,38,170.85766323378772,None
1,38,170.8709978787281,None
1,25,170.9141344094302,None
1,6,170.91832383494017,None
1,38,170.9443559023238,None
1,35,170.95088266262994,None
1,34,171.026225220522,None
1,6,171.03579957074788,None
1,35,171.0581592455476,None
1,6,171.09869949061053,None
1,42,171.14501834995733,None
1,35,171.16425954250155,None
1,42,171.32009273621128,None
1,42,171.37308338434107,None
1,6,171.38367204109463,None
1,25,171.39603762599398,None
1,34,171.4538411733877,None
1,25,171.4809330694376,None
1,42,171.51391274479786,None
1,42,171.5683426430401,None
0,32,171.57048231994,1
1,32,171.57048231994,None
1,38,171.5720540510262,None
1,25,171.61317195244473,None
1,32,171.6349704144552,None
1,35,171.63828767747358,None
1,42,171.7027661255889,None
1,38,171.75111205124108,None
1,32,171.8485824938013,None
1,42,171.94461209206779,None
1,34,171.96774694455746,None
1,34,172.02386414689354,None
1,34,172.05702029436156,None
1,32,172.12661655981864,None
1,25,172.18598553813462,None
1,42,172.271343458939,None
1,38,172.2970865169837,None
1,32,172.3288526717574,None
1,35,172.42211170245469,None
1,34,172.4606196100431,None
1,20,172.64297777865545,None
1,38,172.850763669858,None
1,32,172.95635930208968,None
1,20,173.00602614820392,None
1,34,173.01988474772787,None
1,16,173.03818052288128,None
1,35,173.07105465180462,None
1,42,173.09678958503565,None
1,32,173.12866411391286,None
1,35,173.38268267370447,None
1,20,173.39905519442627,None
1,35,173.95205563088038,None
1,42,173.96822293148895,None
1,25,173.96845765891942,None
1,25,174.1860809182461,None
1,32,174.20520867709035,None
1,35,174.2460904838384,None
1,42,174.2649647452015,None
1,34,174.26894112974134,None
1,25,174.30143059849152,None
1,6,174.30804201424093,None
1,20,174.43212956658826,None
1,6,174.4400217083088,None
1,25,174.56760992724134,None
1,6,174.58718588920752,None
1,6,174.59730581610185,None
1,34,174.62094484148383,None
1,25,174.71130920035503,None
1,35,174.75046313364626,None
1,35,174.78785981658913,None
1,35,174.86350575750052,None
1,32,174.86673599694743,None
1,20,174.91138606014187,None
1,16,174.92463981236824,None
1,35,174.94768579381318,None
1,35,174.99007993590695,None
1,38,174.9984235702384,None
1,38,175.04875947782037,None
1,35,175.11218510282504,None
1,32,175.1138769974809,None
1,42,175.1860444485691,None
1,34,175.2022798284366,None
1,38,175.23353862267433,None
1,42,175.2471361733455,None
1,25,175.37772758986117,None
1,34,175.50569170169848,None
1,35,175.51385235838788,None
1,6,175.6434056378396,None
1,25,175.64400744330857,None
1,20,175.69837463468676,None
1,20,175.72229477062422,None
1,6,175.76326050918885,None
1,6,175.76423230254346,None
1,6,175.86066797540528,None
1,32,175.94123758203017,None
1,32,175.99763940202644,None
1,38,176.32816176974094,None
1,32,176.3409326390799,None
1,35,176.38909906953296,None
1,25,176.41156370955179,None
1,38,176.45671932295997,None
1,16,176.67221064915012,None
1,16,176.68403397354913,None
1,35,176.69254690260357,None
1,6,176.69621761765163,None
1,32,176.95339562188983,None
1,25,176.99465143251342,None
1,35,176.9972851942947,None
1,34,177.00404468939416,None
1,38,177.0644746371896,None
1,20,177.0771949566784,None
1,42,177.18461448583864,None
1,35,177.21313754967412,None
1,34,177.2545985715414,None
1,35,177.261424385846,None
1,16,177.36683375254358,None
1,6,177.374389305347,None
1,42,177.44737191760254,None
1,20,177.46086104529783,None
1,16,177.57169636252837,None
1,6,177.60253889246135,None
1,34,177.63664939045137,None
1,34,177.63897030400216,None
1,34,177.76128136688507,None
1,35,177.7819011132173,None
1,34,177.94214352843815,None
1,35,177.97700424843495,None
1,6,178.03008313005455,None
1,20,178.09866409423955,None
1,35,178.30287726580318,None
1,35,178.32374279753384,None
1,42,178.38629635358478,None
1,38,178.45288067807684,None
1,34,178.47119584920125,None
1,32,178.47615896211093,None
1,34,178.48531716478277,None
1,6,178.49024847340723,None
1,6,178.59999328290525,None
1,32,178.7076233861438,None
1,42,178.7274659585668,None
1,20,178.7706976598093,None
1,35,178.82954551280508,None
1,20,178.8525751297202,None
1,32,178.85299380590706,None
1,6,178.8644334607301,None
1,25,178.86979879734326,None
1,16,178.87294717787861,None
1,6,178.87520549064752,None
1,34,178.89836339834605,None
1,35,179.00303360089472,None
1,20,179.08210693854753,None
1,42,179.14953623226737,None
1,38,179.21505195477042,None
1,6,179.25485964789436,None
1,35,179.29290761528887,None
1,34,179.31393644385815,None
1,32,179.3572982724519,None
1,16,179.40967241968298,None
1,6,179.49850465616726,None
1,38,179.6002221964456,None
1,34,179.72271245272663,None
1,35,180.06060160550655,None
1,25,180.1513476366284,None
1,34,180.1539669779172,None
1,35,180.1679545587394,None
1,38,180.21598565793994,None
1,16,180.21889462865445,None
1,38,180.31456165388718,None
1,38,180.38027400050137,None
1,25,180.4335553540888,None
1,34,180.48758154804395,None
1,32,180.53157523106023,None
1,20,180.5365459096928,None
1,35,180.53870831643886,None
1,42,180.65260604019403,None
1,38,180.7026814830798,None
1,35,180.70680954905706,None
1,32,180.7487167573029,None
1,42,180.80173405794562,None
1,32,180.93115395356955,None
1,20,180.9807584217046,None
1,42,181.07472178895588,None
1,35,181.07488874236475,None
1,25,181.1435918058607,None
1,35,181.1566954103312,None
1,6,181.2950320738687,None
1,34,181.41200301653558,None
1,42,181.45337990927993,None
